Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1742286736633,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,4.9728240966796875,1.5829620361328125,12.620635986328125,1.7512359619140625,7.768211364746094,2.3507080078125,3.3328094482421875,2.4579315185546875,2.6965484619140625,2.4081649780273438,3.454254150390625,1.5788192749023438,2507.7327270507813,4096,960,58,0,31332.45928955078,29052.78106689453,23.0389404296875,34156867584,10236112896,24859262976,2824130560
200,1742286736833,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,6.255409240722656,2.5600357055664063,10.60809326171875,1.902374267578125,9.924026489257813,2.0642776489257813,4.558937072753906,1.264495849609375,3.0483779907226563,1.2486038208007813,2.5506668090820313,1.6785354614257813,2508.033203125,4096,960,58,0,31333.739379882813,29053.834594726563,23.0389404296875,34156867584,10236112896,24858480640,2824921088
200,1742286737034,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,8.605224609375,5.218864440917969,18.551910400390625,3.01654052734375,15.818206787109375,14.833236694335938,12.955635070800781,8.282981872558594,11.17376708984375,3.178680419921875,11.915206909179688,3.196685791015625,2508.3501586914063,4096,960,58,0,31335.244262695313,29055.071899414063,23.0389404296875,34156867584,10236112896,24858882048,2824876032
199,1742286737234,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,8.574661254882813,2.8836135864257813,12.126625061035156,3.2126998901367188,11.474021911621094,8.216720581054688,6.9261932373046875,2.5077056884765625,6.493339538574219,4.433067321777344,4.4792327880859375,1.3772430419921875,2508.6530151367188,4096,960,58,0,31336.062866210938,29055.599487304688,23.0389404296875,34156867584,10236112896,24859525120,2825834496
200,1742286737435,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,11.84912109375,10.240760803222656,17.565353393554688,3.5988082885742188,30.037803649902344,6.582832336425781,17.573944091796875,2.4489364624023438,6.80389404296875,12.993659973144531,11.386772155761719,3.5759353637695313,2508.9678344726563,4096,960,58,0,31337.40447998047,29056.6572265625,23.04156494140625,34156867584,10236112896,24858824704,2825113600
200,1742286737635,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,5.082122802734375,1.26397705078125,11.658843994140625,1.5362930297851563,10.176567077636719,1.0486221313476563,5.345130920410156,1.8610687255859375,3.443267822265625,1.5247802734375,4.202751159667969,1.0562286376953125,2509.27587890625,4096,960,58,0,31338.925048828125,29057.929077148438,23.04156494140625,34156867584,10236112896,24857874432,2824155136
199,1742286737836,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,3.9703521728515625,2.05926513671875,9.913818359375,1.7247467041015625,12.257652282714844,6.2857513427734375,6.734703063964844,1.4932479858398438,4.576972961425781,8.30810546875,4.316184997558594,2.7592239379882813,2509.5945434570313,4096,960,58,0,31340.680053710938,29059.40673828125,23.04156494140625,34156867584,10236112896,24857948160,2825056256
200,1742286738036,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.02093505859375,14.481307983398438,20.745819091796875,4.8103179931640625,20.246788024902344,7.226676940917969,11.425003051757813,3.69390869140625,20.98089599609375,6.711090087890625,8.40594482421875,4.980659484863281,2509.8967895507813,4096,960,58,0,31341.517333984375,29059.961303710938,23.04156494140625,34156867584,10236112896,24857415680,2824245248
200,1742286738236,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,5.3259735107421875,4.197135925292969,6.824462890625,1.5363311767578125,10.190574645996094,6.568809509277344,3.3673934936523438,4.214408874511719,6.045631408691406,1.3926162719726563,7.4837493896484375,0.8243408203125,2510.1966552734375,4096,960,58,0,31343.63690185547,29061.831970214844,23.04156494140625,34156867584,10236112896,24856477696,2823286784
200,1742286738437,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,17.80878448486328,5.177001953125,13.252006530761719,7.757774353027344,19.90471649169922,14.378639221191406,24.107505798339844,13.564468383789063,7.3079833984375,33.888580322265625,23.38336944580078,13.393890380859375,2510.580078125,4096,960,57,0,31346.682189941406,29064.55487060547,23.044677734375,34156867584,10236112896,24826613760,2786320384
199,1742286738637,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,12.208839416503906,6.4808807373046875,23.56836700439453,13.299476623535156,22.99547576904297,5.879150390625,8.828254699707031,6.9232025146484375,16.760955810546875,3.5763015747070313,8.804496765136719,13.914939880371094,2510.8922729492188,4096,960,57,0,31347.78350830078,29065.328369140625,23.044677734375,34156867584,10236112896,24823406592,2785599488
200,1742286738837,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,4.626739501953125,3.8597259521484375,5.865974426269531,4.980934143066406,8.534835815429688,2.156646728515625,3.5036544799804688,2.2561874389648438,2.8995285034179688,3.2047958374023438,2.3130416870117188,1.9114913940429688,2511.1883544921875,4096,960,57,0,31349.08270263672,29066.398071289063,23.044677734375,34156867584,10236112896,24822378496,2784641024
200,1742286739038,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,4.207313537597656,4.2368316650390625,8.588874816894531,3.3836288452148438,11.766555786132813,3.0669479370117188,8.970306396484375,3.9963912963867188,5.556770324707031,16.279708862304688,16.572105407714844,2.19354248046875,2511.506103515625,4096,960,57,0,31351.90673828125,29068.866638183594,23.044677734375,34156867584,10236112896,24823943168,2786504704
200,1742286739239,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.814826965332031,5.5475006103515625,15.088943481445313,3.024444580078125,23.041725158691406,14.238746643066406,7.986839294433594,11.921760559082031,24.44110870361328,7.379814147949219,7.937950134277344,3.7998504638671875,2511.819580078125,4096,960,57,0,31352.962768554688,29069.675048828125,23.044677734375,34156867584,10236112896,24823427072,2786369536
200,1742286739439,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,15.571159362792969,11.772796630859375,11.401657104492188,3.26385498046875,23.57819366455078,15.604782104492188,14.594764709472656,6.547706604003906,6.71173095703125,6.224021911621094,6.5816802978515625,8.85723876953125,2512.1334838867188,4096,960,57,0,31354.104248046875,29070.500244140625,23.04693603515625,34156867584,10236112896,24821260288,2785157120
200,1742286739640,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,8.751441955566406,3.1291275024414063,17.455947875976563,1.3318862915039063,16.711822509765625,5.1096343994140625,10.874099731445313,4.7596893310546875,4.916351318359375,2.0817489624023438,6.403404235839844,2.8810043334960938,2512.449462890625,4096,960,57,0,31355.336669921875,29071.47686767578,23.04693603515625,34156867584,10236112896,24821932032,2786078720
200,1742286739840,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,4.20404052734375,5.299415588378906,10.411994934082031,10.888534545898438,7.9366302490234375,2.2986068725585938,4.769859313964844,4.362335205078125,3.67401123046875,2.1378402709960938,3.9451446533203125,3.7822723388671875,2512.7396850585938,4096,960,57,0,31356.45782470703,29072.36749267578,23.04693603515625,34156867584,10236112896,24821886976,2786078720
