Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1741708723126,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,31.822975158691406,11.337928771972656,12.868576049804688,4.658294677734375,77.29325866699219,4.015869140625,55.59422302246094,15.168418884277344,23.72808837890625,4.193511962890625,27.77484893798828,6.67236328125,3393.93896484375,28674.719482421875,24472.414489746094,168.7188720703125,34156867584,10737418240,22018117632,0
199,1741708723126,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2.5115127563476563,0,1.319610595703125,6.839775085449219,19.9993896484375,0.03952789306640625,96.76482391357422,0.9334564208984375,3.6471710205078125,6.196693420410156,9.100448608398438,1.0246734619140625,3393.9522094726563,28674.780517578125,24472.461791992188,168.7188720703125,34156867584,10737418240,22019014656,0
199,1741708723327,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,12.330459594726563,3.2407989501953125,3.4677352905273438,7.969001770019531,17.31830596923828,5.44671630859375,6.332557678222656,5.856178283691406,4.805656433105469,3.2240066528320313,8.87750244140625,5.3793182373046875,3394.2606811523438,28675.948181152344,24473.271606445313,168.72216796875,34156867584,10737418240,22018412544,0
199,1741708723527,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,12.284439086914063,2.9599151611328125,4.2536773681640625,9.428367614746094,19.153213500976563,6.2836761474609375,7.191230773925781,5.0789031982421875,4.32373046875,7.482337951660156,7.0303497314453125,4.285972595214844,3394.5513305664063,28676.61737060547,24473.605346679688,168.72216796875,34156867584,10737418240,22018154496,0
199,1741708723728,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.667495727539063,2.7465133666992188,5.1102142333984375,6.9222869873046875,10.262474060058594,3.5115737915039063,17.56877899169922,5.417579650878906,11.762863159179688,2.58673095703125,6.410133361816406,2.0611648559570313,3394.8784790039063,28678.365783691406,24474.99102783203,168.728271484375,34156867584,10737418240,22029983744,0
200,1741708723928,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,7.935447692871094,6.227638244628906,5.68731689453125,9.123764038085938,16.15601348876953,5.5872955322265625,18.744834899902344,3.6468276977539063,8.550559997558594,5.8923187255859375,8.329795837402344,3.6464614868164063,3395.1959228515625,28679.21014404297,24475.473510742188,168.7373046875,34156867584,10737418240,22025244672,0
199,1741708724128,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.399696350097656,2.6751632690429688,8.12109375,16.076881408691406,20.763084411621094,7.664741516113281,12.077507019042969,5.894950866699219,9.41656494140625,5.77325439453125,10.477668762207031,5.966651916503906,3395.5382690429688,28680.21856689453,24476.100830078125,168.75115966796875,34156867584,10737418240,22020714496,0
200,1741708724328,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,18.45502471923828,17.842208862304688,8.71685791015625,26.779441833496094,17.949844360351563,6.036643981933594,11.272010803222656,4.701667785644531,7.77850341796875,4.457511901855469,10.973785400390625,6.276969909667969,3395.879638671875,28684.547973632813,24480.043701171875,168.7637939453125,34156867584,10737418240,22019919872,0
200,1741708724529,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.527931213378906,9.78656005859375,5.03564453125,11.819786071777344,20.169387817382813,6.630615234375,12.2344970703125,7.576850891113281,10.480972290039063,4.458198547363281,5.982521057128906,4.056404113769531,3396.2230224609375,28686.484008789063,24481.596130371094,168.77490234375,34156867584,10737418240,22020808704,0
199,1741708724729,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,11.492706298828125,2.0305557250976563,6.080757141113281,5.3618621826171875,15.73291015625,4.163871765136719,8.130401611328125,2.7483062744140625,10.273094177246094,4.3614654541015625,5.497856140136719,2.8930740356445313,3396.5631713867188,28688.2861328125,24483.024963378906,168.78485107421875,34156867584,10737418240,22029156352,0
200,1741708724930,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,12.77545166015625,4.1083221435546875,5.3621368408203125,6.775184631347656,22.066383361816406,4.222053527832031,11.580459594726563,4.958992004394531,8.166732788085938,4.789642333984375,7.774169921875,4.238189697265625,3396.8955078125,28689.141723632813,24483.509216308594,168.79510498046875,34156867584,10737418240,22020100096,0
200,1741708725130,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.614387512207031,2.6942062377929688,5.560638427734375,7.231956481933594,14.407806396484375,4.068351745605469,6.58111572265625,4.120979309082031,6.1755218505859375,2.9696197509765625,5.4898834228515625,6.2097625732421875,3397.2125854492188,28690.099487304688,24484.111755371094,168.79852294921875,34156867584,10737418240,22019596288,0
200,1741708725331,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,14.112327575683594,10.281410217285156,18.330665588378906,10.317764282226563,11.85272216796875,4.5745086669921875,11.379585266113281,3.9208831787109375,16.568336486816406,6.026519775390625,6.8416290283203125,8.514183044433594,3397.5325927734375,28691.212158203125,24484.861450195313,168.79852294921875,34156867584,10737418240,22018895872,0
200,1741708725532,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,12.803604125976563,6.7607421875,43.7344970703125,23.514190673828125,27.979347229003906,17.255592346191406,11.04736328125,6.298255920410156,49.609169006347656,25.253677368164063,3.1776123046875,2.2826614379882813,3397.8895263671875,28696.422973632813,24489.695251464844,168.80010986328125,34156867584,10737418240,22019477504,0
199,1741708725732,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,6.113250732421875,1.8749771118164063,4.690277099609375,5.43292236328125,6.646614074707031,3.92486572265625,9.195793151855469,1.9929046630859375,9.655723571777344,4.519615173339844,3.7118148803710938,5.4507904052734375,3398.2061157226563,28697.96502685547,24490.88348388672,168.80010986328125,34156867584,10737418240,22023266304,0
200,1741708725932,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,5.860328674316406,2.5661544799804688,26.89490509033203,10.092269897460938,11.413177490234375,19.864730834960938,3.7085418701171875,4.831718444824219,2.7559967041015625,1.5996017456054688,3.5317459106445313,10.463180541992188,3398.5195922851563,28700.376586914063,24492.947143554688,168.8018798828125,34156867584,10737418240,22010617856,0
199,1741708726133,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.52215576171875,3.3406829833984375,3.78570556640625,13.901405334472656,16.68791961669922,6.1206207275390625,5.936195373535156,6.802742004394531,5.369049072265625,3.4970245361328125,8.769950866699219,6.626152038574219,3398.8265991210938,28701.425170898438,24493.64794921875,168.8018798828125,34156867584,10737418240,22010068992,0
200,1741708726333,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,15.936080932617188,5.667549133300781,2.3250198364257813,10.504730224609375,10.031341552734375,4.207183837890625,8.09967041015625,5.371681213378906,5.9291229248046875,8.462593078613281,10.474403381347656,3.1128158569335938,3399.149658203125,28702.668884277344,24494.52520751953,168.80633544921875,34156867584,10737418240,21997412352,0
200,1741708726534,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,16.063934326171875,1.87469482421875,1.9038467407226563,14.548904418945313,13.413040161132813,5.336822509765625,7.5056610107421875,1.5333099365234375,2.8623199462890625,13.113014221191406,10.131996154785156,3.1343460083007813,3399.4730834960938,28703.85107421875,24495.319763183594,168.82586669921875,34156867584,10737418240,21997215744,0
199,1741708726735,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.143661499023438,5.313255310058594,2.494537353515625,8.984283447265625,14.29400634765625,5.3115692138671875,4.017158508300781,1.60186767578125,4.691413879394531,3.9696273803710938,9.045753479003906,4.6339263916015625,3399.7823486328125,28704.92657470703,24496.040100097656,168.82586669921875,34156867584,10737418240,21996335104,0
200,1741708726934,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,10.862503051757813,3.2601165771484375,3.8214187622070313,20.019271850585938,14.676254272460938,5.6076812744140625,5.880973815917969,3.2422637939453125,4.0916290283203125,3.9490890502929688,4.907615661621094,5.065437316894531,3400.0747680664063,28705.93487548828,24496.713989257813,168.82586669921875,34156867584,10737418240,21995958272,0
199,1741708727135,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,9.158607482910156,2.01300048828125,3.2310104370117188,6.094688415527344,8.137611389160156,5.8995513916015625,2.7267074584960938,1.6711273193359375,8.067741394042969,3.3797225952148438,4.8582916259765625,3.3509292602539063,3400.3839111328125,28707.306396484375,24497.733032226563,168.82763671875,34156867584,10737418240,21995020288,0
199,1741708727335,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,17.034469604492188,2.623443603515625,2.56268310546875,13.07476806640625,14.445350646972656,7.4323577880859375,6.70220947265625,5.20355224609375,3.9235687255859375,10.057472229003906,11.212882995605469,3.505096435546875,3400.7026977539063,28708.387268066406,24498.51678466797,168.82763671875,34156867584,10737418240,21994024960,0
203,1741708727535,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,2208,24.945480346679688,7.841957092285156,15.866600036621094,36.662757873535156,29.60845184326172,21.535545349121094,12.770805358886719,7.9797515869140625,7.4641571044921875,11.21820068359375,17.238914489746094,6.524192810058594,3401.0798950195313,28711.54296875,24501.107543945313,168.8468017578125,34156867584,10737418240,21994156032,0
