Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740529526174,10542.589492797852,3416.6666666666665,1,0.05624999999999991,10542.589492797852,3416.6666666666665,1,0.05624999999999991,22238.88818359375,5125,0,0.05624999999999991,22238.88818359375,5125,0,0.05624999999999991,9706.628051757813,3416.6666666666665,1,0.05624999999999991,9706.628051757813,3416.6666666666665,1,0.05624999999999991,21952.840606689453,5125,0,0.05624999999999991,21952.840606689453,5125,0,0.05624999999999991,201770.5939025879,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,0,4.34782600402832,0,0,0,0,0,4.1666669845581055,100,0,0,0,0,4.1666669845581055,4.34782600402832,0,16001761280,4294963200,3676712960,753848320
200,1740529526174,10542.591567993164,3416.6666666666665,1,0.05624999999999991,10542.591567993164,3416.6666666666665,1,0.05624999999999991,22238.89305114746,5125,0,0.05624999999999991,22238.89305114746,5125,0,0.05624999999999991,9706.628143310547,3416.6666666666665,1,0.05624999999999991,9706.628143310547,3416.6666666666665,1,0.05624999999999991,21952.853546142578,5125,0,0.05624999999999991,21952.853546142578,5125,0,0.05624999999999991,201770.61604309082,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,0,4.34782600402832,0,0,0,0,0,4.1666669845581055,100,0,0,0,0,4.1666669845581055,4.34782600402832,0,16001761280,4294963200,3676712960,753848320
199,1740529526374,10542.622604370117,3416.6666666666665,1,0.05624999999999991,10542.622604370117,3416.6666666666665,1,0.05624999999999991,22239.664810180664,5125,0,0.05624999999999991,22239.664810180664,5125,0,0.05624999999999991,9706.651977539063,3416.6666666666665,1,0.05624999999999991,9706.651977539063,3416.6666666666665,1,0.05624999999999991,21952.89616394043,5125,0,0.05624999999999991,21952.89616394043,5125,0,0.05624999999999991,201773.4128265381,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,16001761280,4294963200,3676958720,753848320
199,1740529526574,10542.63752746582,3400,1,0.05624999999999991,10542.63752746582,3400,1,0.05624999999999991,22240.52342224121,5100,0,0.05624999999999991,22240.52342224121,5100,0,0.05624999999999991,9706.666198730469,3400,1,0.05624999999999991,9706.666198730469,3400,1,0.05624999999999991,21952.924392700195,3400,1,0.05624999999999991,21952.924392700195,3400,1,0.05624999999999991,201776.16496276855,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,16001761280,4294963200,3676958720,753848320
199,1740529526775,10542.651550292969,3400,1,0.09375,10542.651550292969,3400,1,0.09375,22241.543380737305,5100,0,0.09375,22241.543380737305,5100,0,0.09375,9706.681518554688,3400,1,0.09375,9706.681518554688,3400,1,0.09375,21952.963958740234,3400,1,0.09375,21952.963958740234,3400,1,0.09375,201778.91047668457,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16001761280,4294963200,3676958720,753848320
199,1740529526975,10542.769409179688,3350,1,0.6625,10542.769409179688,3350,1,0.6625,22242.098205566406,3350,1,0.6625,22242.098205566406,3350,1,0.4750000000000001,9706.698852539063,3350,1,0.4750000000000001,9706.698852539063,3350,1,0.4750000000000001,21953.608520507813,5025,0,0.4750000000000001,21953.608520507813,5025,0,0.4750000000000001,201781.63581848145,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,5,0,0,0,4.761904716491699,0,0,10,0,5.555555820465088,0,0,15.789472579956055,0,0,0,16001761280,4294963200,3436212224,753848320
199,1740529527175,10543.247680664063,4950,0,0.25624999999999987,10543.247680664063,4950,0,0.25624999999999987,22243.470291137695,4950,0,0.25624999999999987,22243.470291137695,4950,0,0.25624999999999987,9706.895309448242,3300,1,0.25624999999999987,9706.895309448242,3300,1,0.25624999999999987,21953.993621826172,4950,0,0.25624999999999987,21953.993621826172,4950,0,0.25624999999999987,201785.26188659668,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,10,5,0,9.523809432983398,0,0,10,0,5,66.66667175292969,5,4.761904716491699,15.789472579956055,0,5,4.761904716491699,16001761280,4294963200,3524173824,753848320
199,1740529527375,10544.144088745117,3250,1,0.28749999999999987,10544.144088745117,3250,1,0.28749999999999987,22245.335067749023,4875,0,0.28749999999999987,22245.335067749023,4875,0,0.28749999999999987,9707.330932617188,4875,0,0.28749999999999987,9707.330932617188,4875,0,0.28749999999999987,21954.99496459961,4875,0,0.28749999999999987,21954.99496459961,4875,0,0.28749999999999987,201790.4972229004,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,30.000001907348633,15.000000953674316,19.047618865966797,5.263157844543457,9.523809432983398,0,10,0,0,70,10.526315689086914,0,36.842105865478516,0,10,0,16001761280,4294963200,3602333696,753848320
199,1740529527575,10545.61750793457,4850,0,0.25624999999999987,10545.61750793457,4850,0,0.25624999999999987,22246.798294067383,3233.3333333333335,1,0.25624999999999987,22246.798294067383,3233.3333333333335,1,0.25624999999999987,9708.892623901367,3233.3333333333335,1,0.25624999999999987,9708.892623901367,3233.3333333333335,1,0.25624999999999987,21956.797790527344,3233.3333333333335,1,0.25624999999999987,21956.797790527344,3233.3333333333335,1,0.25624999999999987,201798.92337036133,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,50,36.842105865478516,57.894737243652344,10.526315689086914,27.77777862548828,15.789472579956055,40,21.052631378173828,28.571430206298828,60.000003814697266,80,5.555555820465088,85.71428680419922,14.285715103149414,50,20,16001761280,4294963200,3746799616,753848320
199,1740529527775,10547.031219482422,3216.6666666666665,1,0.3125,10547.031219482422,3216.6666666666665,1,0.3125,22248.236099243164,4825,0,0.3125,22248.236099243164,4825,0,0.3125,9710.041931152344,3216.6666666666665,1,0.3125,9710.041931152344,3216.6666666666665,1,0.3125,21958.46322631836,4825,0,0.3125,21958.46322631836,4825,0,0.3125,201806.57525634766,3486,400,3359,400,3364,400,3864,400,5039,400,400,3617,5008,400,5033,400,26.3157901763916,50,45,28.571430206298828,20,15.000000953674316,26.3157901763916,20,40,45,50,19.047618865966797,5.263157844543457,94.44444274902344,25,14.285715103149414,16001761280,4294963200,3855097856,753848320
