Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740536330990,12252.59439086914,3416.6666666666665,1,0.06874999999999987,12252.59439086914,3416.6666666666665,1,0.06874999999999987,27195.274780273438,5125,0,0.06874999999999987,27195.274780273438,5125,0,0.06874999999999987,11226.639831542969,3416.6666666666665,1,0.06874999999999987,11226.639831542969,3416.6666666666665,1,0.06874999999999987,26713.129684448242,5125,0,0.06874999999999987,26713.129684448242,5125,0,0.06874999999999987,238059.71786499023,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,4.1666669845581055,4.34782600402832,4.1666669845581055,0,0,0,0,4.34782600402832,0,0,0,0,100,0,0,0,16001761280,4294963200,3698294784,753152000
200,1740536330990,12252.625595092773,3416.6666666666665,1,0.06874999999999987,12252.625595092773,3416.6666666666665,1,0.06874999999999987,27195.285537719727,5125,0,0.06874999999999987,27195.285537719727,5125,0,0.06874999999999987,11226.641067504883,3416.6666666666665,1,0.06874999999999987,11226.641067504883,3416.6666666666665,1,0.06874999999999987,26713.134323120117,5125,0,0.06874999999999987,26713.134323120117,5125,0,0.06874999999999987,238059.74374389648,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,4.1666669845581055,4.34782600402832,4.1666669845581055,0,0,0,0,4.34782600402832,0,0,0,0,100,0,0,0,16001761280,4294963200,3698286592,753152000
199,1740536331190,12252.662048339844,3416.6666666666665,1,0.07499999999999996,12252.662124633789,3416.6666666666665,1,0.07499999999999996,27195.33578491211,3416.6666666666665,1,0.07499999999999996,27195.33578491211,3416.6666666666665,1,0.07499999999999996,11226.674850463867,3416.6666666666665,1,0.07499999999999996,11226.674850463867,3416.6666666666665,1,0.07499999999999996,26713.906295776367,5125,0,0.07499999999999996,26713.906295776367,5125,0,0.07499999999999996,238062.59957885742,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,16001761280,4294963200,3698282496,753152000
199,1740536331390,12252.678695678711,3416.6666666666665,1,0.050000000000000044,12252.678695678711,3416.6666666666665,1,0.050000000000000044,27195.374313354492,3416.6666666666665,1,0.050000000000000044,27195.374313354492,3416.6666666666665,1,0.050000000000000044,11226.688842773438,3416.6666666666665,1,0.050000000000000044,11226.688842773438,3416.6666666666665,1,0.050000000000000044,26714.789962768555,5125,0,0.050000000000000044,26714.789962768555,5125,0,0.050000000000000044,238065.39865112305,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,0,0,0,0,0,0,0,0,0,0,0,0,60.000003814697266,0,0,0,16001761280,4294963200,3698282496,753152000
199,1740536331590,12252.692276000977,3350,1,0.09375,12252.692276000977,3350,1,0.09375,27195.422454833984,3350,1,0.09375,27195.422454833984,3350,1,0.09375,11226.702758789063,3350,1,0.09375,11226.702758789063,3350,1,0.09375,26715.806533813477,3350,1,0.09375,26715.806533813477,3350,1,0.09375,238068.20385742188,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,16001761280,4294963200,3698278400,753152000
199,1740536331791,12252.702560424805,3350,1,0.6625,12252.702560424805,3350,1,0.6625,27195.870666503906,5025,0,0.6625,27195.870666503906,5025,0,0.6625,11226.714462280273,3350,1,0.6625,11226.714462280273,3350,1,0.6625,26716.24836730957,3350,1,0.6625,26716.24836730957,3350,1,0.6625,238071.0994567871,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,0,0,0,0,4.761904716491699,0,0,5,10.526315689086914,0,0,0,15.000000953674316,5,0,5.555555820465088,16001761280,4294963200,3446976512,753152000
199,1740536331991,12253.0263671875,3316.6666666666665,1,0.23124999999999996,12253.0263671875,3316.6666666666665,1,0.23124999999999996,27196.272094726563,4975,0,0.23124999999999996,27196.272094726563,4975,0,0.23124999999999996,11226.926330566406,3316.6666666666665,1,0.23124999999999996,11226.926330566406,3316.6666666666665,1,0.23124999999999996,26717.45249938965,4975,0,0.23124999999999996,26717.45249938965,4975,0,0.23124999999999996,238074.60298156738,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,0,0,0,0,4.761904716491699,0,0,5,10.526315689086914,0,0,0,15.000000953674316,5,0,5.555555820465088,16001761280,4294963200,3545419776,753152000
199,1740536332191,12253.308517456055,4850,0,0.3062499999999999,12253.308517456055,4850,0,0.3062499999999999,27197.298950195313,3233.3333333333335,1,0.3062499999999999,27197.302337646484,3233.3333333333335,1,0.3062499999999999,11227.436019897461,4850,0,0.3062499999999999,11227.436019897461,4850,0,0.3062499999999999,26719.539443969727,4850,0,0.3062499999999999,26719.539443969727,4850,0,0.3062499999999999,238079.90672302246,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,16.279069900512695,0,10,10,7.500000476837158,2.4390242099761963,7.500000476837158,0,25.641027450561523,0,15.384615898132324,0,61.5384635925293,7.692307949066162,10.256410598754883,2.5,16001761280,4294963200,3606806528,753152000
199,1740536332391,12254.683319091797,4850,0,0.26875000000000004,12254.683319091797,4850,0,0.26875000000000004,27198.70994567871,3233.3333333333335,1,0.26875000000000004,27198.70994567871,3233.3333333333335,1,0.26875000000000004,11228.720901489258,3233.3333333333335,1,0.26875000000000004,11228.720901489258,3233.3333333333335,1,0.26875000000000004,26721.37483215332,4850,0,0.26875000000000004,26721.37483215332,4850,0,0.26875000000000004,238088.2631072998,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,50,35,45,71.42857360839844,31.57894515991211,15.000000953674316,25,38.88888931274414,65,25,28.571430206298828,52.6315803527832,60.000003814697266,47.36842346191406,25,16.666667938232422,16001761280,4294963200,3752615936,753152000
199,1740536332591,12255.589248657227,4800,0,0.3125,12255.589248657227,4800,0,0.3125,27200.00323486328,4800,0,0.3125,27200.00323486328,4800,0,0.3125,11229.974700927734,4800,0,0.3125,11229.974700927734,4800,0,0.3125,26723.139694213867,4800,0,0.3125,26723.139694213867,4800,0,0.3125,238095.91624450684,3481,400,3360,400,400,3795,3401,400,5040,400,4158,400,3873,5039,5040,400,30.000001907348633,15.789472579956055,35,47.36842346191406,20,5.263157844543457,25,28.571430206298828,40,36.842105865478516,57.894737243652344,15.000000953674316,5.263157844543457,95.23809814453125,35,19.047618865966797,16001761280,4294963200,3865796608,753152000
