Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740529099913,10437.777603149414,3366.6666666666665,1,0.69375,10437.777603149414,3366.6666666666665,1,0.69375,21925.36036682129,4975,0,0.44999999999999996,21925.36036682129,4975,0,0.44999999999999996,9614.024780273438,3316.6666666666665,1,0.44999999999999996,9614.024780273438,3316.6666666666665,1,0.44999999999999996,21649.061584472656,4975,0,0.44999999999999996,21649.061584472656,4975,0,0.44999999999999996,199478.73908996582,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,8.333333969116211,4.1666669845581055,13.043478012084961,27.272727966308594,8.69565200805664,4.1666669845581055,4.545454502105713,8.333333969116211,50,4.34782600402832,4.34782600402832,0,48,8.333333969116211,8.69565200805664,0,16001761280,4294963200,3685191680,753852416
200,1740529099913,10437.779479980469,3316.6666666666665,1,0.44999999999999996,10437.779479980469,3316.6666666666665,1,0.44999999999999996,21925.36036682129,4975,0,0.44999999999999996,21925.36036682129,4975,0,0.44999999999999996,9614.024780273438,3316.6666666666665,1,0.44999999999999996,9614.024780273438,3316.6666666666665,1,0.44999999999999996,21649.061584472656,4975,0,0.44999999999999996,21649.061584472656,4975,0,0.44999999999999996,199478.73908996582,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,8.333333969116211,4.1666669845581055,13.043478012084961,27.272727966308594,8.69565200805664,4.1666669845581055,4.545454502105713,8.333333969116211,50,4.34782600402832,4.34782600402832,0,48,8.333333969116211,8.69565200805664,0,16001761280,4294963200,3685175296,753852416
199,1740529100113,10437.802352905273,3416.6666666666665,1,0.09999999999999987,10437.802352905273,3416.6666666666665,1,0.09999999999999987,21925.42335510254,3416.6666666666665,1,0.09999999999999987,21925.42335510254,3416.6666666666665,1,0.09999999999999987,9614.044845581055,3416.6666666666665,1,0.09999999999999987,9614.044845581055,3416.6666666666665,1,0.09999999999999987,21649.225296020508,5125,0,0.09999999999999987,21649.225296020508,5125,0,0.09999999999999987,199479.93312072754,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,5.263157844543457,0,0,0,16001761280,4294963200,3685191680,753852416
199,1740529100313,10437.81753540039,3416.6666666666665,1,0.0625,10437.81753540039,3416.6666666666665,1,0.0625,21925.45524597168,3416.6666666666665,1,0.0625,21925.45524597168,3416.6666666666665,1,0.0625,9614.058288574219,3416.6666666666665,1,0.0625,9614.058288574219,3416.6666666666665,1,0.0625,21649.981842041016,5125,0,0.0625,21649.981842041016,5125,0,0.0625,199482.68809509277,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,100,0,0,0,16001761280,4294963200,3685191680,753852416
199,1740529100513,10437.833908081055,3416.6666666666665,1,0.0625,10437.833908081055,3416.6666666666665,1,0.0625,21925.50065612793,5125,0,0.0625,21925.50065612793,5125,0,0.0625,9614.073425292969,3416.6666666666665,1,0.0625,9614.073425292969,3416.6666666666665,1,0.0625,21650.76402282715,5125,0,0.0625,21650.76402282715,5125,0,0.0625,199485.502243042,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,100,0,0,0,16001761280,4294963200,3685191680,753852416
199,1740529100713,10437.849578857422,3416.6666666666665,1,0.0625,10437.849670410156,3416.6666666666665,1,0.0625,21925.54164123535,3416.6666666666665,1,0.0625,21925.54164123535,3416.6666666666665,1,0.0625,9614.087921142578,3416.6666666666665,1,0.0625,9614.087921142578,3416.6666666666665,1,0.06874999999999987,21651.693771362305,5125,0,0.06874999999999987,21651.693771362305,5125,0,0.06874999999999987,199488.35806274414,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,0,0,0,0,0,0,0,0,0,0,100,5,0,0,16001761280,4294963200,3685191680,753852416
199,1740529100913,10437.867431640625,3416.6666666666665,1,0.06874999999999987,10437.867431640625,3416.6666666666665,1,0.06874999999999987,21925.58430480957,3416.6666666666665,1,0.06874999999999987,21925.58430480957,3416.6666666666665,1,0.06874999999999987,9614.10368347168,3416.6666666666665,1,0.06874999999999987,9614.10368347168,3416.6666666666665,1,0.06874999999999987,21652.469467163086,5125,0,0.06874999999999987,21652.474090576172,5125,0,0.06874999999999987,199491.1779937744,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,16001761280,4294963200,3685191680,753852416
199,1740529101113,10437.978775024414,3400,1,0.043749999999999956,10437.978775024414,3400,1,0.043749999999999956,21925.65837097168,3400,1,0.043749999999999956,21925.65837097168,3400,1,0.043749999999999956,9614.12370300293,3400,1,0.043749999999999956,9614.12370300293,3400,1,0.043749999999999956,21653.499801635742,5100,0,0.043749999999999956,21653.499801635742,5100,0,0.043749999999999956,199493.98472595215,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,0,0,0,0,0,0,0,0,0,0,14.285715103149414,0,0,0,16001761280,4294963200,3685191680,753852416
199,1740529101313,10437.992431640625,3383.3333333333335,1,0.11250000000000004,10437.992431640625,3383.3333333333335,1,0.11250000000000004,21925.700149536133,3383.3333333333335,1,0.11250000000000004,21925.700149536133,5075,1,0.11250000000000004,9614.13752746582,3400,1,0.10624999999999996,9614.13752746582,3400,1,0.10624999999999996,21654.652954101563,5100,0,0.10624999999999996,21654.652954101563,5100,0,0.10624999999999996,199496.85781860352,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333333969116211,0,0,16001761280,4294963200,3427745792,753852416
199,1740529101514,10438.180084228516,3333.3333333333335,1,0.26249999999999996,10438.180084228516,3333.3333333333335,1,0.26249999999999996,21926.17219543457,5000,0,0.26249999999999996,21926.178909301758,5000,0,0.26249999999999996,9614.350006103516,3333.3333333333335,1,0.26249999999999996,9614.350006103516,3333.3333333333335,1,0.26249999999999996,21655.060760498047,3333.3333333333335,1,0.26249999999999996,21655.060760498047,3333.3333333333335,1,0.26249999999999996,199499.8797607422,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,5,10.526315689086914,10,5,0,5,10.526315689086914,11.111111640930176,10,10,0,5.263157844543457,0,5.263157844543457,0,16001761280,4294963200,3531141120,753852416
199,1740529101714,10438.366455078125,3283.3333333333335,1,0.25,10438.366455078125,3283.3333333333335,1,0.25,21928.568313598633,4925,0,0.25,21928.568313598633,4925,0,0.25,9614.68441772461,3283.3333333333335,1,0.25,9614.68441772461,3283.3333333333335,1,0.25,21655.36328125,3283.3333333333335,1,0.25,21655.36328125,3283.3333333333335,1,0.25,199504.02424621582,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,10,0,4.761904716491699,0,0,5,95.23809814453125,5,10.526315689086914,0,14.285715103149414,0,5.263157844543457,0,16001761280,4294963200,3565436928,753852416
199,1740529101914,10439.369674682617,3200,1,0.32499999999999996,10439.369674682617,3200,1,0.31874999999999987,21930.25018310547,4800,0,0.31874999999999987,21930.25018310547,4800,0,0.31874999999999987,9615.389144897461,4800,0,0.31874999999999987,9615.389144897461,4800,0,0.31874999999999987,21656.59767150879,4800,0,0.31874999999999987,21656.59767150879,4800,0,0.31874999999999987,199510.80796813965,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,20,45,52.6315803527832,20,26.3157901763916,5.263157844543457,30.000001907348633,15.000000953674316,68.42105102539063,25,30.000001907348633,19.047618865966797,33.333335876464844,35,30.000001907348633,15.000000953674316,16001761280,4294963200,3690328064,753852416
199,1740529102114,10440.539016723633,4750,0,0.33125000000000004,10440.548065185547,4750,0,0.33125000000000004,21932.0859375,4750,0,0.33125000000000004,21932.0859375,4750,0,0.33125000000000004,9616.375961303711,4750,0,0.33125000000000004,9616.375961303711,4750,0,0.33125000000000004,21658.241302490234,4750,0,0.33125000000000004,21658.241302490234,4750,0,0.33125000000000004,199519.07229614258,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,40,15.000000953674316,30.000001907348633,75,28.571430206298828,15.000000953674316,30.000001907348633,33.333335876464844,50,47.36842346191406,25,21.052631378173828,60.000003814697266,30.000001907348633,20,25,16001761280,4294963200,3767881728,753848320
199,1740529102314,10441.240264892578,3200,1,0.32499999999999996,10441.240264892578,3200,1,0.32499999999999996,21933.334396362305,3200,1,0.32499999999999996,21933.334396362305,3200,1,0.32499999999999996,9616.894653320313,3200,1,0.32499999999999996,9616.89468383789,3200,1,0.32499999999999996,21659.8466796875,4800,0,0.32499999999999996,21659.8466796875,4800,0,0.32499999999999996,199525.37158203125,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,25,15.000000953674316,19.047618865966797,42.105262756347656,11.111111640930176,5,11.111111640930176,10.526315689086914,35,50,15.000000953674316,10,10,100,20,21.052631378173828,16001761280,4294963200,3860422656,753848320
199,1740529102514,10441.918975830078,4825,0,0.33125000000000004,10441.918975830078,4825,0,0.33125000000000004,21934.589401245117,4825,0,0.33125000000000004,21934.589401245117,4825,0,0.33125000000000004,9617.625228881836,4825,0,0.33125000000000004,9617.625228881836,4825,0,0.33125000000000004,21661.362747192383,4825,0,0.33125000000000004,21661.362747192383,4825,0,0.33125000000000004,199532.14179992676,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,20,20,38.88888931274414,35,23.809524536132813,5.263157844543457,20,10.526315689086914,61.11111068725586,10,25,20,15.000000953674316,80.95238494873047,31.57894515991211,15.000000953674316,16001761280,4294963200,3943710720,753848320
199,1740529102714,10442.66731262207,3200,1,0.3125,10442.66731262207,3200,1,0.3125,21935.864822387695,3200,1,0.31874999999999987,21935.864822387695,3200,1,0.31874999999999987,9618.092849731445,4800,0,0.31874999999999987,9618.092849731445,4800,0,0.31874999999999987,21663.093780517578,4800,0,0.31874999999999987,21663.093780517578,4800,0,0.31874999999999987,199538.16473388672,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,10.526315689086914,15.000000953674316,36.3636360168457,15.789472579956055,10,9.523809432983398,15.000000953674316,10,54.54545593261719,10,10.526315689086914,10,68.42105102539063,16.666667938232422,14.285715103149414,14.285715103149414,16001761280,4294963200,3967406080,753848320
199,1740529102914,10443.283126831055,3200,1,0.32499999999999996,10443.283126831055,3200,1,0.32499999999999996,21936.849197387695,4800,0,0.32499999999999996,21936.85235595703,4800,0,0.32499999999999996,9618.54621887207,3200,1,0.32499999999999996,9618.54621887207,3200,1,0.32499999999999996,21664.655395507813,4800,0,0.32499999999999996,21664.655395507813,4800,0,0.32499999999999996,199543.64491271973,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,10.526315689086914,15.000000953674316,36.3636360168457,15.789472579956055,10,9.523809432983398,15.000000953674316,10,54.54545593261719,10,10.526315689086914,10,68.42105102539063,16.666667938232422,14.285715103149414,14.285715103149414,16001761280,4294963200,4053438464,753848320
199,1740529103114,10443.628814697266,3216.6666666666665,1,0.32499999999999996,10443.628814697266,3216.6666666666665,1,0.32499999999999996,21937.190231323242,4825,0,0.32499999999999996,21937.190231323242,4825,0,0.32499999999999996,9618.822830200195,3216.6666666666665,1,0.32499999999999996,9618.822830200195,3216.6666666666665,1,0.32499999999999996,21666.04917907715,4825,0,0.32499999999999996,21666.04917907715,4825,0,0.32499999999999996,199547.7338104248,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,5.263157844543457,10,26.3157901763916,0,14.285715103149414,0,9.523809432983398,0,15.000000953674316,5,10,4.761904716491699,23.809524536132813,65,19.047618865966797,0,16001761280,4294963200,4041633792,753848320
199,1740529103314,10443.940521240234,3316.6666666666665,1,0.66875,10443.940521240234,3316.6666666666665,1,0.66875,21937.399612426758,3316.6666666666665,1,0.66875,21937.399612426758,3316.6666666666665,1,0.66875,9619.029281616211,3316.6666666666665,1,0.66875,9619.029281616211,3316.6666666666665,1,0.66875,21666.337493896484,3316.6666666666665,1,0.66875,21666.337493896484,3316.6666666666665,1,0.66875,199550.33422851563,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,14.285715103149414,0,10,0,0,5,5.263157844543457,5,5.263157844543457,0,5,5,5.263157844543457,5.263157844543457,5.263157844543457,0,16001761280,4294963200,4034109440,753848320
199,1740529103514,10443.995040893555,3266.6666666666665,1,0.3062499999999999,10443.995040893555,3266.6666666666665,1,0.3062499999999999,21937.43701171875,3266.6666666666665,1,0.3062499999999999,21937.43701171875,3266.6666666666665,1,0.3062499999999999,9619.136688232422,3266.6666666666665,1,0.3062499999999999,9619.136688232422,3266.6666666666665,1,0.3062499999999999,21666.612686157227,4900,0,0.3062499999999999,21666.612686157227,4900,0,0.3062499999999999,199551.58381652832,3452,400,400,3368,3368,400,3425,400,5040,400,3365,400,5039,5036,3410,5039,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,0,5,0,4.761904716491699,10,0,0,16001761280,4294963200,4035141632,753848320
