Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740525699203,9575.22085571289,3366.6666666666665,1,0.05624999999999991,9575.22085571289,3366.6666666666665,1,0.05624999999999991,19411.339111328125,5050,0,0.05624999999999991,19411.339111328125,5050,0,0.05624999999999991,8864.185668945313,3366.6666666666665,1,0.05624999999999991,8864.185668945313,3366.6666666666665,1,0.05624999999999991,19263.983764648438,3366.6666666666665,1,0.05624999999999991,19263.983764648438,3366.6666666666665,1,0.05624999999999991,181243.53686523438,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0,0,0,4.1666669845581055,4.34782600402832,0,0,0,0,100,0,0,4.1666669845581055,0,0,0,16001761280,4294963200,3695579136,754307072
200,1740525699203,9575.257598876953,3350,1,0.0625,9575.257598876953,3350,1,0.0625,19411.34393310547,5025,0,0.0625,19411.34393310547,5025,0,0.0625,8864.185760498047,3350,1,0.0625,8864.185760498047,3350,1,0.0625,19263.983978271484,3350,1,0.0625,19263.983978271484,3350,1,0.0625,181243.55940246582,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0,0,0,4.1666669845581055,4.34782600402832,0,0,0,0,100,0,0,4.1666669845581055,0,0,0,16001761280,4294963200,3695579136,754307072
199,1740525699403,9575.304092407227,3416.6666666666665,1,0.05624999999999991,9575.304092407227,3416.6666666666665,1,0.05624999999999991,19412.11846923828,5125,0,0.05624999999999991,19412.11846923828,5125,0,0.05624999999999991,8864.209518432617,3416.6666666666665,1,0.05624999999999991,8864.209518432617,3416.6666666666665,1,0.05624999999999991,19264.007568359375,3416.6666666666665,1,0.05624999999999991,19264.007568359375,3416.6666666666665,1,0.05624999999999991,181246.40200805664,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,16001761280,4294963200,3695837184,754307072
199,1740525699604,9575.320281982422,3400,1,0.03749999999999987,9575.320281982422,3400,1,0.03749999999999987,19413.01838684082,5100,0,0.03749999999999987,19413.01838684082,5100,0,0.03749999999999987,8864.223526000977,3400,1,0.03749999999999987,8864.223526000977,3400,1,0.03749999999999987,19264.036499023438,3400,1,0.03749999999999987,19264.036499023438,3400,1,0.03749999999999987,181249.31982421875,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0,0,0,0,0,0,0,0,0,47.36842346191406,0,0,0,0,0,0,16001761280,4294963200,3695837184,754307072
199,1740525699804,9575.644592285156,3333.3333333333335,1,0.13749999999999996,9575.644592285156,3333.3333333333335,1,0.13749999999999996,19413.294723510742,3333.3333333333335,1,0.13749999999999996,19413.2947845459,3333.3333333333335,1,0.13749999999999996,8864.47348022461,3333.3333333333335,1,0.13749999999999996,8864.47348022461,3333.3333333333335,1,0.13749999999999996,19264.39222717285,3333.3333333333335,1,0.13749999999999996,19264.39222717285,3333.3333333333335,1,0.13749999999999996,181253.87713623047,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0,15.000000953674316,15.789472579956055,0,15.000000953674316,5,10,0,5.263157844543457,13.636363983154297,5.263157844543457,10.526315689086914,15.789472579956055,5,5.263157844543457,4.761904716491699,16001761280,4294963200,3696586752,754307072
199,1740525700004,9575.673049926758,3300,1,0.28125,9575.673049926758,3300,1,0.28125,19413.76544189453,4950,0,0.28125,19413.76544189453,4950,0,0.28125,8864.514678955078,3300,1,0.28125,8864.514678955078,3300,1,0.28125,19264.938919067383,4950,0,0.28125,19264.938919067383,4950,0,0.28125,181256.51908874512,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,5,0,0,5,0,0,0,0,15.000000953674316,5.263157844543457,0,0,10,10.526315689086914,0,0,16001761280,4294963200,3465916416,754307072
199,1740525700204,9575.9521484375,3350,1,0.20625000000000004,9575.9521484375,3316.6666666666665,1,0.20625000000000004,19414.107620239258,3316.6666666666665,1,0.19374999999999987,19414.107620239258,3316.6666666666665,1,0.19374999999999987,8864.719711303711,3316.6666666666665,1,0.19374999999999987,8864.719711303711,3316.6666666666665,1,0.19374999999999987,19266.559814453125,4975,0,0.19374999999999987,19266.559814453125,4975,0,0.19374999999999987,181260.51712036133,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,14.285715103149414,0,15.000000953674316,0,5,0,19.047618865966797,9.523809432983398,5.263157844543457,0,5,9.090909004211426,75,5,5,4.761904716491699,16001761280,4294963200,3568091136,754307072
199,1740525700404,9576.362243652344,4800,0,0.31874999999999987,9576.362243652344,4800,0,0.31874999999999987,19415.307678222656,3200,1,0.31874999999999987,19415.307678222656,3200,1,0.31874999999999987,8865.426055908203,4800,0,0.31874999999999987,8865.438201904297,4800,0,0.31874999999999987,19268.20167541504,4800,0,0.31874999999999987,19268.20167541504,4800,0,0.31874999999999987,181265.83683776855,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,23.809524536132813,0,38.095237731933594,5,15.000000953674316,4.761904716491699,5.263157844543457,0,45,0,25,0,65,0,10,0,16001761280,4294963200,3640336384,754307072
199,1740525700604,9577.815872192383,4850,0,0.26875000000000004,9577.815872192383,4850,0,0.26875000000000004,19416.85693359375,4850,0,0.26875000000000004,19416.85693359375,4850,0,0.26875000000000004,8866.746765136719,4850,0,0.26875000000000004,8866.746765136719,4850,0,0.26875000000000004,19269.896514892578,4850,0,0.26875000000000004,19269.896514892578,4850,0,0.26875000000000004,181274.24160766602,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,47.36842346191406,42.105262756347656,33.333335876464844,75,31.57894515991211,15.000000953674316,45,25,55,40,35,42.105262756347656,42.105262756347656,52.6315803527832,30.000001907348633,20,16001761280,4294963200,3749191680,754307072
199,1740525700804,9578.662231445313,3183.333333333333,1,0.31874999999999987,9578.662231445313,3183.333333333333,1,0.31874999999999987,19418.445114135742,4775,0,0.31874999999999987,19418.445114135742,4775,0,0.31874999999999987,8867.499435424805,3183.333333333333,1,0.31874999999999987,8867.499435424805,3183.333333333333,1,0.31874999999999987,19271.666275024414,4775,0,0.31874999999999987,19271.666275024414,4775,0,0.31874999999999987,181281.53616333008,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,26.3157901763916,27.272727966308594,5.263157844543457,76.19047546386719,25,15.789472579956055,25,10.526315689086914,27.77777862548828,63.15789031982422,25,10,15.000000953674316,100,25,15.000000953674316,16001761280,4294963200,3832451072,754307072
