Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,DIFF_CORE0_ENERGY (J),CORE0_POWER (W),DIFF_CORE1_ENERGY (J),CORE1_POWER (W),DIFF_CORE2_ENERGY (J),CORE2_POWER (W),DIFF_CORE3_ENERGY (J),CORE3_POWER (W),DIFF_CORE4_ENERGY (J),CORE4_POWER (W),DIFF_CORE5_ENERGY (J),CORE5_POWER (W),DIFF_CORE6_ENERGY (J),CORE6_POWER (W),DIFF_CORE7_ENERGY (J),CORE7_POWER (W),DIFF_CPU_ENERGY (J),CPU_POWER (W)
200,1740524868139,9368.68667602539,3416.6666666666665,1,0.75625,9368.68667602539,3416.6666666666665,1,0.75625,18771.86100769043,5125.0,0,0.1125,18771.86100769043,5125.0,0,0.1125,8680.818572998047,3416.6666666666665,1,0.7625,8680.818572998047,3416.6666666666665,1,0.7625,18724.28700256348,3416.6666666666665,1,0.7625,18724.28700256348,3416.6666666666665,1,0.7625,176821.65925598145,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4425424896,754900992,0.0005645751953125,0.0028228759765625,0.0005645751953125,0.0028228759765625,0.02713012694948702,0.1356506347474351,0.02713012694948702,0.1356506347474351,0.000335693359375,0.001678466796875,0.000335693359375,0.001678466796875,0.007675170905713458,0.03837585452856729,0.007675170905713458,0.03837585452856729,0.66552734375,3.32763671875
200,1740524868339,9368.686965942385,3366.6666666666665,1,0.76875,9368.686965942385,3366.6666666666665,1,0.76875,18771.8839263916,5125.0,1,0.6625,18771.8839263916,5125.0,0,0.6625,8680.818832397461,3416.6666666666665,1,0.6625,8680.818832397461,3416.6666666666665,1,0.6625,18724.29248046875,3416.6666666666665,1,0.6625,18724.29248046875,3416.6666666666665,1,0.6625,176822.1640625,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4425424896,754900992,0.0002899169940064894,0.001449584970032447,0.0002899169940064894,0.001449584970032447,0.022918701171875,0.114593505859375,0.022918701171875,0.114593505859375,0.0002593994140625,0.0012969970703125,0.0002593994140625,0.0012969970703125,0.005477905269799521,0.027389526348997606,0.005477905269799521,0.027389526348997606,0.5048065185546875,2.5240325927734375
200,1740524868540,9368.691009521484,3775.0,1,0.68125,9368.691009521484,3775.0,1,0.68125,18771.90563964844,3775.0,1,0.68125,18771.90563964844,3775.0,1,0.68125,8680.825942993164,3416.6666666666665,1,0.96875,8680.825942993164,3416.6666666666665,1,0.96875,18724.36845397949,3416.6666666666665,1,0.96875,18724.36845397949,3416.6666666666665,1,0.96875,176822.97595214844,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,4.761904716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4425166848,754900992,0.004043579099743511,0.020217895498717553,0.004043579099743511,0.020217895498717553,0.02171325683957548,0.1085662841978774,0.02171325683957548,0.1085662841978774,0.007110595703125,0.035552978515625,0.007110595703125,0.035552978515625,0.07597351073854952,0.3798675536927476,0.07597351073854952,0.3798675536927476,0.8118896484375,4.0594482421875
200,1740524868740,9368.701370239258,3775.0,1,0.68125,9368.701370239258,3775.0,1,0.68125,18771.925659179688,3775.0,0,0.68125,18771.925659179688,3775.0,0,0.68125,8680.826293945312,3416.6666666666665,1,0.91875,8680.826293945312,3416.6666666666665,1,0.91875,18724.37190246582,3416.6666666666665,1,0.91875,18724.37190246582,3416.6666666666665,1,0.91875,176823.53858947754,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4425166848,754900992,0.0103607177734375,0.0518035888671875,0.0103607177734375,0.0518035888671875,0.02001953124636202,0.1000976562318101,0.02001953124636202,0.1000976562318101,0.0003509521484375,0.0017547607421875,0.0003509521484375,0.0017547607421875,0.003448486331762979,0.017242431658814894,0.003448486331762979,0.017242431658814894,0.5626373291015625,2.8131866455078125
200,1740524868941,9368.704055786133,3416.6666666666665,1,0.4624999999999999,9368.704055786133,3416.6666666666665,1,0.4624999999999999,18771.9501953125,5125.0,0,0.4624999999999999,18771.9501953125,5125.0,0,0.4624999999999999,8680.826965332031,3416.6666666666665,1,0.4624999999999999,8680.826965332031,3416.6666666666665,1,0.4624999999999999,18724.39208984375,3416.6666666666665,1,0.4624999999999999,18724.39208984375,3416.6666666666665,1,0.4624999999999999,176824.16082763672,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4419821568,754900992,0.002685546875,0.013427734375,0.002685546875,0.013427734375,0.0245361328125,0.1226806640625,0.0245361328125,0.1226806640625,0.00067138671875,0.00335693359375,0.00067138671875,0.00335693359375,0.0201873779296875,0.1009368896484375,0.0201873779296875,0.1009368896484375,0.6222381591796875,3.1111907958984375
200,1740524869141,9368.725341796877,3775.0,1,0.68125,9368.725341796877,3775.0,1,0.68125,18772.023956298828,3775.0,1,0.68125,18772.023956298828,3775.0,1,0.68125,8680.848648071289,3416.6666666666665,1,1.00625,8680.848648071289,3416.6666666666665,1,1.00625,18724.43617248535,3416.6666666666665,1,1.00625,18724.43617248535,3416.6666666666665,1,1.00625,176824.8964691162,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,0.0,0.0,16001761280,4294963200,4418080768,754900992,0.02128601074400649,0.10643005372003245,0.02128601074400649,0.10643005372003245,0.073760986328125,0.368804931640625,0.073760986328125,0.368804931640625,0.0216827392578125,0.1084136962890625,0.0216827392578125,0.1084136962890625,0.0440826416015625,0.2204132080078125,0.0440826416015625,0.2204132080078125,0.7356414794921875,3.6782073974609375
200,1740524869341,9368.743789672852,3416.6666666666665,1,0.75625,9368.743789672852,3416.6666666666665,1,0.75625,18772.036514282227,5125.0,0,0.125,18772.036514282227,5125.0,0,0.125,8680.848831176758,3416.6666666666665,1,0.75625,8680.848831176758,3416.6666666666665,1,0.75625,18724.449966430664,3416.6666666666665,1,0.7625,18724.449966430664,3416.6666666666665,1,0.5249999999999999,176825.45512390137,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4418076672,754900992,0.01844787597474351,0.09223937987371755,0.01844787597474351,0.09223937987371755,0.0125579833984375,0.0627899169921875,0.0125579833984375,0.0627899169921875,0.00018310546875,0.00091552734375,0.00018310546875,0.00091552734375,0.0137939453125,0.0689697265625,0.0137939453125,0.0689697265625,0.55865478515625,2.79327392578125
200,1740524869542,9368.74479675293,3775.0,1,0.68125,9368.74479675293,3775.0,1,0.68125,18772.055282592773,3775.0,1,0.68125,18772.055282592773,3775.0,1,0.68125,8680.857025146484,3775.0,1,0.68125,8680.857025146484,3416.6666666666665,1,0.68125,18724.450317382812,3416.6666666666665,1,1.0437500000000002,18724.450317382812,3416.6666666666665,1,1.0437500000000002,176825.98992919922,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4418334720,754900992,0.001007080078125,0.005035400390625,0.001007080078125,0.005035400390625,0.018768310546875,0.093841552734375,0.018768310546875,0.093841552734375,0.0081939697265625,0.0409698486328125,0.0081939697265625,0.0409698486328125,0.0003509521484375,0.0017547607421875,0.0003509521484375,0.0017547607421875,0.5348052978515625,2.6740264892578125
200,1740524869742,9368.745132446287,3775.0,1,0.68125,9368.745132446287,3775.0,1,0.68125,18772.06527709961,3775.0,1,0.68125,18772.06527709961,3775.0,1,0.68125,8680.857345581055,3775.0,1,0.68125,8680.857345581055,3416.6666666666665,1,0.68125,18724.450622558597,3416.6666666666665,1,0.89375,18724.450622558597,3416.6666666666665,1,0.89375,176826.6063232422,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4418334720,754900992,0.0003356933575560106,0.001678466787780053,0.0003356933575560106,0.001678466787780053,0.0099945068359375,0.0499725341796875,0.0099945068359375,0.0499725341796875,0.0003204345703125,0.0016021728515625,0.0003204345703125,0.0016021728515625,0.0003051757848879788,0.001525878924439894,0.0003051757848879788,0.001525878924439894,0.61639404296875,3.08197021484375
200,1740524869943,9368.755798339844,3416.6666666666665,1,0.75625,9368.755798339844,3416.6666666666665,1,0.75625,18772.101364135742,5125.0,1,0.125,18772.101364135742,5125.0,1,0.125,8680.857620239258,3416.6666666666665,1,0.75625,8680.857620239258,3416.6666666666665,1,0.75625,18724.48712158203,3416.6666666666665,0,0.7625,18724.48712158203,3416.6666666666665,1,0.4937499999999999,176827.14169311523,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,4.761904716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4414189568,754900992,0.01066589355650649,0.05332946778253245,0.01066589355650649,0.05332946778253245,0.0360870361328125,0.1804351806640625,0.0360870361328125,0.1804351806640625,0.000274658203125,0.001373291015625,0.000274658203125,0.001373291015625,0.03649902343386202,0.1824951171693101,0.03649902343386202,0.1824951171693101,0.535369873046875,2.676849365234375
200,1740524870143,9368.756271362305,3775.0,1,0.68125,9368.756271362305,3775.0,1,0.68125,18772.134048461918,3775.0,0,0.68125,18772.134048461918,3775.0,0,0.68125,8680.858016967773,3775.0,1,0.68125,8680.858016967773,3416.6666666666665,1,0.68125,18724.487579345703,3416.6666666666665,1,0.99375,18724.487579345703,3416.6666666666665,1,0.99375,176827.68156433103,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4414447616,754900992,0.0004730224609375,0.0023651123046875,0.0004730224609375,0.0023651123046875,0.03268432617551298,0.1634216308775649,0.03268432617551298,0.1634216308775649,0.000396728515625,0.001983642578125,0.000396728515625,0.001983642578125,0.000457763671875,0.002288818359375,0.000457763671875,0.002288818359375,0.5398712157912087,2.6993560789560433
200,1740524870343,9368.76579284668,3775.0,1,0.68125,9368.76579284668,3775.0,1,0.68125,18772.14849853516,3775.0,1,0.68125,18772.14849853516,3775.0,1,0.68125,8680.86474609375,3775.0,1,0.68125,8680.86474609375,2516.666666666667,1,0.68125,18724.494888305664,3416.6666666666665,1,0.8875,18724.494888305664,3416.6666666666665,1,0.8875,176828.20875549316,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4413104128,754900992,0.009521484375,0.047607421875,0.009521484375,0.047607421875,0.0144500732421875,0.0722503662109375,0.0144500732421875,0.0722503662109375,0.0067291259765625,0.0336456298828125,0.0067291259765625,0.0336456298828125,0.0073089599609375,0.0365447998046875,0.0073089599609375,0.0365447998046875,0.5271911621384788,2.635955810692394
200,1740524870544,9368.765975952148,3775.0,1,1.21875,9368.765975952148,3775.0,1,1.21875,18772.159927368164,3775.0,1,1.21875,18772.159927368164,3775.0,1,1.21875,8680.86491394043,3775.0,1,1.21875,8680.86491394043,3775.0,1,1.21875,18724.495071411133,3775.0,1,1.21875,18724.495071411133,3775.0,1,1.21875,176828.66427612305,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4413104128,754900992,0.00018310546875,0.00091552734375,0.00018310546875,0.00091552734375,0.011428833004174521,0.057144165020872606,0.011428833004174521,0.057144165020872606,0.0001678466796875,0.0008392333984375,0.0001678466796875,0.0008392333984375,0.00018310546875,0.00091552734375,0.00018310546875,0.00091552734375,0.4555206298828125,2.2776031494140625
200,1740524870744,9368.767044067385,3366.6666666666665,1,0.76875,9368.76707458496,3366.6666666666665,1,0.76875,18772.17320251465,3366.6666666666665,1,0.76875,18772.17320251465,3366.6666666666665,1,0.76875,8680.865127563477,3366.6666666666665,1,0.76875,8680.865127563477,3366.6666666666665,1,0.76875,18724.495330810547,3416.6666666666665,1,0.775,18724.495330810547,3416.6666666666665,1,0.2624999999999999,176829.21794128418,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4413104128,754900992,0.0010681152361939894,0.005340576180969947,0.0010986328106810106,0.005493164053405053,0.013275146484375,0.066375732421875,0.013275146484375,0.066375732421875,0.000213623046875,0.001068115234375,0.000213623046875,0.001068115234375,0.0002593994140625,0.0012969970703125,0.0002593994140625,0.0012969970703125,0.5536651611328125,2.7683258056640625
200,1740524870944,9368.76742553711,3416.6666666666665,1,0.75625,9368.76742553711,3416.6666666666665,1,0.75625,18772.192810058597,5125.0,1,0.1187499999999999,18772.192810058597,5125.0,1,0.1187499999999999,8680.865478515625,3416.6666666666665,1,0.7625,8680.865478515625,3416.6666666666665,1,0.7625,18724.495666503903,5125.0,1,0.1312499999999998,18724.495666503903,5125.0,1,0.1312499999999998,176829.81759643555,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,4409536512,754900992,0.0003814697247435106,0.001907348623717553,0.0003509521502564894,0.001754760751282447,0.01960754394895048,0.0980377197447524,0.01960754394895048,0.0980377197447524,0.0003509521484375,0.0017547607421875,0.0003509521484375,0.0017547607421875,0.0003356933557370212,0.001678466778685106,0.0003356933557370212,0.001678466778685106,0.5996551513671875,2.9982757568359375
