Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,SYSTEM_ENERGY (J)
0,1739357477503,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.91249847412109,44.22613906860352,44.71637344360352,43.85020446777344,44.56048583984375,44.565826416015625,44.4121322631836,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.650965690612791,17179869184,0,9632382976,0,0.0
204,1739357477504,4056,4056,4056,4056,4056,4056,4056,4056,44.26012420654297,44.53355407714844,44.91249847412109,44.22613906860352,44.71637344360352,43.85020446777344,44.56048583984375,44.565826416015625,44.4121322631836,44.41789245605469,44.639625549316406,44.48169708251953,44.57465744018555,44.94236755371094,0.0,100.0,,,0.0,,100.0,,9.650965690612791,17179869184,0,9632382976,0,1.9687970008850093
200,1739357477709,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35.0,26.3157901763916,14.285715103149414,14.285715103149414,14.285715103149414,9.523809432983398,5.0,9.523809432983398,9.650965690612791,17179869184,0,9632382976,0,1.9301931381225583
201,1739357477910,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,35.0,40.0,25.0,15.789472579956056,15.789472579956056,15.000000953674316,23.809524536132812,5.263157844543457,9.650965690612791,17179869184,0,9632382976,0,1.939844103813171
204,1739357478112,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,20.0,23.809524536132812,5.263157844543457,13.636363983154297,15.000000953674316,15.000000953674316,5.263157844543457,9.523809432983398,9.620872497558594,17179869184,0,9632382976,0,1.962657989501953
202,1739357478317,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,10.526315689086914,10.526315689086914,4.761904716491699,0.0,15.000000953674316,10.526315689086914,14.285715103149414,5.0,9.620872497558594,17179869184,0,9703145472,0,1.9434162445068361
204,1739357478519,4056,4056,4056,4056,4056,4056,4056,4056,44.63337326049805,44.83721923828125,45.11920166015625,44.488563537597656,44.971641540527344,44.05226516723633,44.9216423034668,44.90337371826172,44.71186065673828,44.781280517578125,44.95630645751953,44.77742004394531,44.82212448120117,45.1965217590332,15.000000953674316,15.000000953674316,5.0,0.0,15.000000953674316,19.0476188659668,10.0,0.0,9.620872497558594,17179869184,0,9728770048,0,1.962657989501953
200,1739357478724,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,14.285715103149414,5.0,5.0,20.0,14.285715103149414,25.0,9.523809432983398,9.620872497558594,17179869184,0,9716072448,0,1.924174499511719
203,1739357478925,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,10.526315689086914,9.523809432983398,0.0,19.0476188659668,10.526315689086914,30.000001907348636,5.0,9.620872497558594,17179869184,0,9716072448,0,1.9530371170043948
204,1739357479128,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,9.523809432983398,0.0,5.0,10.526315689086914,15.000000953674316,5.0,5.0,10.177098274230955,17179869184,0,9716072448,0,2.0761280479431146
201,1739357479334,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,15.789472579956056,9.523809432983398,4.761904716491699,19.0476188659668,19.0476188659668,19.0476188659668,10.0,10.177098274230955,17179869184,0,9652092928,0,2.045596753120422
199,1739357479536,4056,4056,4056,4056,4056,4056,4056,4056,44.73575592041016,44.89439010620117,45.23772811889648,44.64789962768555,45.11601257324219,44.13147735595703,45.00398254394531,44.96756362915039,44.78163909912109,44.833797454833984,45.01450729370117,44.85466003417969,44.93912506103516,45.31544494628906,15.000000953674316,10.0,5.0,5.0,15.000000953674316,19.0476188659668,5.263157844543457,4.761904716491699,10.177098274230955,17179869184,0,9640984576,0,2.02524255657196
203,1739357479736,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,15.789472579956056,10.0,5.263157844543457,0.0,15.000000953674316,5.555555820465088,13.636363983154297,5.0,10.177098274230955,17179869184,0,9636233216,0,2.065950949668884
204,1739357479940,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25.0,28.571430206298828,15.000000953674316,15.000000953674316,19.0476188659668,19.0476188659668,10.0,5.0,10.177098274230955,17179869184,0,9638379520,0,2.0761280479431146
204,1739357480145,4056,4056,4056,4056,4056,4056,4056,4056,45.355079650878906,45.5850715637207,46.37350082397461,45.32844543457031,46.17400741577149,44.869102478027344,45.675323486328125,45.5615463256836,45.3444709777832,45.596439361572266,45.74654769897461,45.50670623779297,46.24106979370117,46.66752243041992,25.0,21.052631378173828,14.285715103149414,9.523809432983398,15.789472579956056,10.0,5.263157844543457,0.0,10.60251522064209,17179869184,0,9641164800,0,2.162913105010986
