Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,DIFF_CORE0_ENERGY (J),CORE0_POWER (W),DIFF_CORE1_ENERGY (J),CORE1_POWER (W),DIFF_CORE2_ENERGY (J),CORE2_POWER (W),DIFF_CORE3_ENERGY (J),CORE3_POWER (W),DIFF_CORE4_ENERGY (J),CORE4_POWER (W),DIFF_CORE5_ENERGY (J),CORE5_POWER (W),DIFF_CORE6_ENERGY (J),CORE6_POWER (W),DIFF_CORE7_ENERGY (J),CORE7_POWER (W),DIFF_CPU_ENERGY (J),CPU_POWER (W),DIFF_DIFF_CORE0_ENERGY (J),DIFF_POWER (W),DIFF_DIFF_CORE1_ENERGY (J),DIFF_DIFF_CORE2_ENERGY (J),DIFF_DIFF_CORE3_ENERGY (J),DIFF_DIFF_CORE4_ENERGY (J),DIFF_DIFF_CORE5_ENERGY (J),DIFF_DIFF_CORE6_ENERGY (J),DIFF_DIFF_CORE7_ENERGY (J),DIFF_DIFF_CPU_ENERGY (J)
0,0,9356.799880981443,3416.6666666666665,1,0.0749999999999999,9356.799880981443,3416.6666666666665,1,0.0749999999999999,18750.313018798828,5125.0,0,0.0749999999999999,18750.313018798828,5125.0,0,0.0749999999999999,8672.436111450195,3416.6666666666665,1,0.0749999999999999,8672.436111450195,3416.6666666666665,1,0.0749999999999999,18698.50859069824,5125.0,0,0.0749999999999999,18698.50859069824,5050.0,0,0.0687499999999998,176669.68028259277,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,4.34782600402832,4.34782600402832,0.0,0.0,0.0,4.34782600402832,0.0,0.0,21.7391300201416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3683692544,754929664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0,9356.799880981443,3366.6666666666665,1,0.0687499999999998,9356.799880981443,3366.6666666666665,1,0.0687499999999998,18750.313018798828,5050.0,0,0.0687499999999998,18750.313018798828,5050.0,0,0.0687499999999998,8672.436111450195,3366.6666666666665,1,0.0687499999999998,8672.436111450195,3366.6666666666665,1,0.0687499999999998,18698.50859069824,5050.0,0,0.0687499999999998,18698.50859069824,5050.0,0,0.0687499999999998,176669.68028259277,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,4.34782600402832,4.34782600402832,0.0,0.0,0.0,4.34782600402832,0.0,0.0,21.7391300201416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3683692544,754929664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,200,9356.839401245115,3416.6666666666665,1,0.0874999999999999,9356.839401245115,3416.6666666666665,1,0.0874999999999999,18751.10134887696,5125.0,0,0.0874999999999999,18751.10134887696,5125.0,0,0.0874999999999999,8672.481338500977,3416.6666666666665,1,0.0874999999999999,8672.481338500977,3416.6666666666665,1,0.0874999999999999,18698.569946289062,3416.6666666666665,1,0.0874999999999999,18698.569946289062,3416.6666666666665,1,0.0874999999999999,176672.56924438477,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3683692544,754929664,0.039520263671875,0.19859428980841706,0.039520263671875,0.19859428980841706,0.788330078132276,3.9614576790566627,0.788330078132276,3.9614576790566627,0.04522705078125,0.2272716119660804,0.04522705078125,0.2272716119660804,0.06135559082395048,0.3083195518791481,0.06135559082395048,0.3083195518791481,2.8889617919921875,14.517395939659233,0.039520263671875,14.517395939659233,0.039520263671875,0.788330078132276,0.788330078132276,0.04522705078125,0.04522705078125,0.06135559082395048,0.06135559082395048,2.8889617919921875
199,400,9356.882888793943,3416.6666666666665,1,0.0562499999999999,9356.882888793943,3416.6666666666665,1,0.0562499999999999,18751.87818908692,5125.0,0,0.0562499999999999,18751.87818908692,5125.0,0,0.0562499999999999,8672.515167236328,3416.6666666666665,1,0.0562499999999999,8672.515167236328,3416.6666666666665,1,0.0562499999999999,18698.61909484864,3416.6666666666665,1,0.0562499999999999,18698.61909484864,3416.6666666666665,1,0.0562499999999999,176675.35954284668,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.761904716491699,0.0,0.0,0.0,16001761280,4294963200,3683692544,754929664,0.043487548828125,0.21853039612123115,0.043487548828125,0.21853039612123115,0.7768402099609375,3.9037196480449117,0.7768402099609375,3.9037196480449117,0.0338287353515625,0.16999364498272612,0.0338287353515625,0.16999364498272612,0.04914855957758846,0.24697768631953998,0.04914855957758846,0.24697768631953998,2.7902984619140625,14.021600311125942,0.00396728515625,-0.49579562853329145,0.00396728515625,-0.011489868171338458,-0.011489868171338458,-0.0113983154296875,-0.0113983154296875,-0.012207031246362021,-0.012207031246362021,-0.098663330078125
199,600,9356.897872924805,3416.6666666666665,1,0.0562499999999999,9356.897872924805,3416.6666666666665,1,0.0562499999999999,18752.657012939453,5125.0,0,0.0562499999999999,18752.657012939453,5125.0,0,0.0562499999999999,8672.529907226562,3416.6666666666665,1,0.0562499999999999,8672.529907226562,3416.6666666666665,1,0.0562499999999999,18698.65438842773,5125.0,0,0.0562499999999999,18698.65438842773,5125.0,0,0.0562499999999999,176678.12251281738,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.761904716491699,0.0,0.0,0.0,16001761280,4294963200,3683692544,754929664,0.01498413086119399,0.07529714000599995,0.01498413086119399,0.07529714000599995,0.7788238525317865,3.9136877011647564,0.7788238525317865,3.9136877011647564,0.014739990234375,0.0740703026853015,0.014739990234375,0.0740703026853015,0.035293579090648564,0.17735466879722894,0.035293579090648564,0.17735466879722894,2.762969970703125,13.884271209563442,-0.02850341796693101,-0.1373291015625,-0.02850341796693101,0.0019836425708490424,0.0019836425708490424,-0.0190887451171875,-0.0190887451171875,-0.013854980486939894,-0.013854980486939894,-0.0273284912109375
199,800,9356.91374206543,3400.0,1,0.09375,9356.91374206543,3400.0,1,0.09375,18753.45726013184,5100.0,0,0.09375,18753.45726013184,5100.0,0,0.09375,8672.544418334961,3400.0,1,0.09375,8672.544494628906,3400.0,1,0.09375,18698.69654846192,3400.0,1,0.09375,18698.69654846192,3400.0,1,0.09375,176680.90432739258,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.47618865966795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3683692544,754929664,0.015869140625,0.07974442525125627,0.015869140625,0.07974442525125627,0.8002471923864505,4.021342675308796,0.8002471923864505,4.021342675308796,0.0145111083984375,0.07292014270571608,0.01458740234375,0.07330352936557788,0.042160034190601436,0.21185946829447957,0.042160034190601436,0.21185946829447957,2.7818145751953125,13.978967714549308,0.0008850097638060106,0.09469650498586683,0.0008850097638060106,0.021423339854663936,0.021423339854663936,-0.0002288818359375,-0.000152587890625,0.006866455099952873,0.006866455099952873,0.0188446044921875
199,1000,9357.982360839844,5025.0,0,0.09375,9357.982360839844,5025.0,0,0.09375,18753.512313842773,3350.0,1,0.09375,18753.512313842773,3350.0,1,0.09375,8672.56314086914,3350.0,1,0.09375,8672.56314086914,3350.0,1,0.09375,18698.725646972656,3350.0,1,0.09375,18698.725646972656,3350.0,1,0.09375,176683.6707458496,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3684020224,754929664,1.0686187744140625,5.369943590020414,1.0686187744140625,5.369943590020414,0.05505371093386202,0.2766518137380001,0.05505371093386202,0.2766518137380001,0.0187225341796875,0.09408308633008794,0.018646240234375,0.09369969967022612,0.029098510734911542,0.14622367203473136,0.029098510734911542,0.14622367203473136,2.76641845703125,13.901600286589195,1.0527496337890625,-0.07736742796011306,1.0527496337890625,-0.7451934814525885,-0.7451934814525885,0.00421142578125,0.004058837890625,-0.013061523455689894,-0.013061523455689894,-0.0153961181640625
199,1200,9358.746994018557,4950.0,0,0.2562499999999998,9358.746994018557,4950.0,0,0.25,18753.81854248047,4950.0,0,0.25,18753.81854248047,4950.0,0,0.25,8672.578384399414,3300.0,1,0.25,8672.578384399414,3300.0,1,0.25,18699.10725402832,3300.0,1,0.25,18699.10725402832,3300.0,1,0.25,176686.63446044922,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,5.882352828979492,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.263157844543457,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,16001761280,4294963200,3480461312,754929664,0.7646331787127565,3.842377782476163,0.7646331787127565,3.842377782476163,0.3062286376953125,1.538837375353329,0.3062286376953125,1.538837375353329,0.0152435302734375,0.07660065464038944,0.0152435302734375,0.07660065464038944,0.3816070556640625,1.9176233952967965,0.3816070556640625,1.9176233952967965,2.963714599609375,14.893038188991833,-0.303985595701306,0.9914379024026382,-0.303985595701306,0.2511749267614505,0.2511749267614505,-0.00347900390625,-0.0034027099609375,0.35250854492915096,0.35250854492915096,0.197296142578125
199,1400,9359.069274902344,3283.333333333333,1,0.2937499999999999,9359.069274902344,3283.333333333333,1,0.2937499999999999,18754.31523132324,4925.0,0,0.2937499999999999,18754.31523132324,4925.0,0,0.2937499999999999,8672.825210571289,3283.333333333333,1,0.2937499999999999,8672.825210571289,3283.333333333333,1,0.2937499999999999,18699.5795288086,4925.0,0,0.2937499999999999,18699.5795288086,4925.0,0,0.2937499999999999,176689.7290802002,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,0.0,14.285715103149414,15.000000953674316,0.0,4.761904716491699,0.0,0.0,9.523809432983398,30.00000190734864,9.090909004211426,5.0,0.0,20.0,9.523809432983398,5.0,0.0,16001761280,4294963200,3575517184,754929664,0.3222808837872435,1.619501928579113,0.3222808837872435,1.619501928579113,0.4966888427697995,2.495923833014068,0.4966888427697995,2.495923833014068,0.246826171875,1.2403325219849246,0.246826171875,1.2403325219849246,0.47227478028071346,2.3732401019131326,0.47227478028071346,2.3732401019131326,3.0946197509765625,15.550853019982725,-0.442352294925513,0.6578148309908919,-0.442352294925513,0.19046020507448702,0.19046020507448702,0.2315826416015625,0.2315826416015625,0.09066772461665096,0.09066772461665096,0.1309051513671875
199,1600,9359.601318359377,4975.0,0,0.21875,9359.601318359377,4975.0,0,0.21875,18756.430206298828,4975.0,0,0.21875,18756.430206298828,4975.0,0,0.21875,8673.235977172852,3316.6666666666665,1,0.21875,8673.235977172852,3316.6666666666665,1,0.21875,18700.51170349121,4975.0,0,0.21875,18700.51170349121,4975.0,0,0.21875,176695.47273254397,3364,3436,400,3360,3359,400,400,3360,5040,400,5040,400,3445,400,5035,400,5.263157844543457,5.263157844543457,5.263157844543457,5.263157844543457,10.0,0.0,28.571430206298828,0.0,55.0,21.052631378173828,15.000000953674316,0.0,11.111111640930176,10.0,15.000000953674316,5.0,16001761280,4294963200,3612459008,754929664,0.532043457033069,2.673585211221452,0.532043457033069,2.673585211221452,2.1149749755895755,10.628014952711434,2.1149749755895755,10.628014952711434,0.4107666015625,2.0641537766959797,0.4107666015625,2.0641537766959797,0.9321746826099115,4.684294887486993,0.9321746826099115,4.684294887486993,5.743652343779104,28.86257459185479,0.20976257324582548,13.311721571872067,0.20976257324582548,1.618286132819776,1.618286132819776,0.1639404296875,0.1639404296875,0.4598999023291981,0.4598999023291981,2.6490325928025413
