Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,DIFF_CORE0_ENERGY (J),CORE0_POWER (W),DIFF_CORE1_ENERGY (J),CORE1_POWER (W),DIFF_CORE2_ENERGY (J),CORE2_POWER (W),DIFF_CORE3_ENERGY (J),CORE3_POWER (W),DIFF_CORE4_ENERGY (J),CORE4_POWER (W),DIFF_CORE5_ENERGY (J),CORE5_POWER (W),DIFF_CORE6_ENERGY (J),CORE6_POWER (W),DIFF_CORE7_ENERGY (J),CORE7_POWER (W),DIFF_CPU_ENERGY (J),CPU_POWER (W)
0.0,0.0,12471.579193115234,3366.6666666666665,1,0.0687499999999998,12471.579193115234,3366.6666666666665,1,0.0687499999999998,27832.35646057129,5050.0,0,0.0687499999999998,27832.35646057129,5050.0,0,0.0687499999999998,11421.949142456057,3366.6666666666665,1,0.0687499999999998,11421.949142456057,3366.6666666666665,1,0.0687499999999998,27283.71914672852,3366.6666666666665,1,0.0687499999999998,27283.71914672852,3366.6666666666665,1,0.0687499999999998,242599.67762756348,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,4.34782600402832,4.34782600402832,0.0,0.0,4.34782600402832,0.0,4.1666669845581055,4.34782600402832,27.272727966308597,0.0,0.0,0.0,0.0,0.0,4.1666669845581055,0.0,16001761280,4294963200,3719307264,753127424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,12471.582870483398,3366.6666666666665,1,0.0687499999999998,12471.582870483398,3366.6666666666665,1,0.0687499999999998,27832.361129760742,5025.0,0,0.0562499999999999,27832.361129760742,5025.0,0,0.0562499999999999,11421.949340820312,5025.0,0,0.0562499999999999,11421.949340820312,5025.0,0,0.0562499999999999,27283.720001220703,3350.0,1,0.0562499999999999,27283.720001220703,3350.0,1,0.0562499999999999,242599.7014312744,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,4.34782600402832,4.34782600402832,0.0,0.0,4.34782600402832,0.0,4.1666669845581055,4.34782600402832,27.272727966308597,0.0,0.0,0.0,0.0,0.0,4.1666669845581055,0.0,16001761280,4294963200,3719307264,753127424,0.0036773681640625,0.0183868408203125,0.0036773681640625,0.0183868408203125,0.004669189453125,0.023345947265625,0.004669189453125,0.023345947265625,0.0001983642559935106,0.000991821279967553,0.0001983642559935106,0.000991821279967553,0.0008544921838620212,0.004272460919310106,0.0008544921838620212,0.004272460919310106,0.0238037109375,0.1190185546875
200.0,200.0,12471.631652832031,3416.6666666666665,1,0.0562499999999999,12471.631652832031,3416.6666666666665,1,0.0562499999999999,27833.149810791016,5125.0,0,0.0562499999999999,27833.149810791016,5125.0,0,0.0562499999999999,11421.989196777344,3416.6666666666665,1,0.0562499999999999,11421.989196777344,3416.6666666666665,1,0.0562499999999999,27283.74559020996,3416.6666666666665,1,0.0562499999999999,27283.74559020996,3350.0,1,0.0562499999999999,242602.579788208,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.761904716491699,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3719774208,753127424,0.0487823486328125,0.2439117431640625,0.0487823486328125,0.2439117431640625,0.7886810302734375,3.9434051513671875,0.7886810302734375,3.9434051513671875,0.03985595703125,0.19927978515625,0.03985595703125,0.19927978515625,0.0255889892578125,0.1279449462890625,0.0255889892578125,0.1279449462890625,2.87835693359375,14.39178466796875
200.0,400.0,12471.688064575195,3416.6666666666665,1,0.0562499999999999,12471.688064575195,3416.6666666666665,1,0.0562499999999999,27833.92512512207,5125.0,0,0.0562499999999999,27833.92512512207,5125.0,0,0.0562499999999999,11422.004104614258,3416.6666666666665,1,0.0562499999999999,11422.004104614258,3416.6666666666665,1,0.0562499999999999,27283.766708374023,3416.6666666666665,1,0.0562499999999999,27283.766708374023,3416.6666666666665,1,0.0562499999999999,242605.3542327881,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,4.761904716491699,0.0,0.0,0.0,16001761280,4294963200,3719774208,753127424,0.0564117431640625,0.2820587158203125,0.0564117431640625,0.2820587158203125,0.7753143310546875,3.8765716552734375,0.7753143310546875,3.8765716552734375,0.0149078369140625,0.0745391845703125,0.0149078369140625,0.0745391845703125,0.0211181640625,0.1055908203125,0.0211181640625,0.1055908203125,2.774444580078125,13.872222900390625
200.0,600.0,12471.74462890625,3416.6666666666665,1,0.0625,12471.74462890625,3416.6666666666665,1,0.0625,27834.70413208008,5125.0,0,0.0625,27834.70413208008,5125.0,0,0.0625,11422.021392822266,3416.6666666666665,1,0.0625,11422.021392822266,3416.6666666666665,1,0.0625,27283.78662109375,3416.6666666666665,1,0.0625,27283.78662109375,3416.6666666666665,1,0.0625,242608.13929748532,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3719774208,753127424,0.0565643310546875,0.2828216552734375,0.0565643310546875,0.2828216552734375,0.7790069580114505,3.8950347900572524,0.7790069580114505,3.8950347900572524,0.0172882080078125,0.0864410400390625,0.0172882080078125,0.0864410400390625,0.0199127197265625,0.0995635986328125,0.0199127197265625,0.0995635986328125,2.785064697236521,13.925323486182606
200.0,800.0,12471.81591796875,5050.0,1,0.0749999999999999,12471.81591796875,5050.0,0,0.0749999999999999,27835.57276916504,5050.0,0,0.0749999999999999,27835.57276916504,5050.0,0,0.0749999999999999,11422.035995483398,3366.6666666666665,1,0.0749999999999999,11422.035995483398,3366.6666666666665,1,0.0749999999999999,27283.80160522461,3366.6666666666665,1,0.0749999999999999,27283.80160522461,3366.6666666666665,1,0.0749999999999999,242610.94398498532,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.95238494873047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3719774208,753127424,0.0712890625,0.3564453125,0.0712890625,0.3564453125,0.8686370849572995,4.343185424786498,0.8686370849572995,4.343185424786498,0.0146026611328125,0.0730133056640625,0.0146026611328125,0.0730133056640625,0.014984130859375,0.074920654296875,0.014984130859375,0.074920654296875,2.8046875,14.0234375
200.0,1000.0,12471.837631225586,3400.0,1,0.0687499999999998,12471.837753295898,3400.0,1,0.0687499999999998,27836.986068725582,5100.0,0,0.0687499999999998,27836.986068725582,5100.0,0,0.0687499999999998,11422.050094604492,3400.0,1,0.0687499999999998,11422.050094604492,3400.0,1,0.0687499999999998,27283.84764099121,3400.0,1,0.0687499999999998,27283.84764099121,5100.0,1,0.0687499999999998,242613.9514465332,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6666669845581055,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3719774208,753127424,0.0217132568359375,0.1085662841796875,0.0218353271484375,0.1091766357421875,1.413299560543237,7.066497802716185,1.413299560543237,7.066497802716185,0.01409912109375,0.07049560546875,0.01409912109375,0.07049560546875,0.0460357666015625,0.2301788330078125,0.0460357666015625,0.2301788330078125,3.0074615478806663,15.037307739403332
200.0,1200.0,12472.055648803713,3350.0,1,0.6625,12472.055648803713,3350.0,1,0.6625,27838.072204589844,5025.0,0,0.6625,27838.072204589844,5025.0,0,0.6625,11422.08917236328,3350.0,1,0.6625,11422.08917236328,3350.0,1,0.6625,27284.113815307617,3350.0,1,0.6625,27284.113815307617,3350.0,1,0.6625,242616.91270446777,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,4.761904716491699,9.523809432983398,0.0,0.0,16001761280,4294963200,3462799360,753127424,0.218017578126819,1.090087890634095,0.217895507814319,1.089477539071595,1.0861358642614505,5.430679321307252,1.0861358642614505,5.430679321307252,0.03907775878724351,0.19538879393621755,0.03907775878724351,0.19538879393621755,0.26617431640625,1.33087158203125,0.26617431640625,1.33087158203125,2.9612579345703125,14.806289672851562
200.0,1400.0,12472.235305786133,3316.6666666666665,1,0.25,12472.235305786133,3316.6666666666665,1,0.25,27839.00396728516,4975.0,0,0.25,27839.00396728516,4975.0,0,0.25,11422.378173828123,3316.6666666666665,1,0.25,11422.378173828123,3316.6666666666665,1,0.25,27284.53857421875,3316.6666666666665,1,0.25,27284.53857421875,3316.6666666666665,1,0.25,242620.1622467041,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,10.0,0.0,9.523809432983398,0.0,0.0,0.0,0.0,5.0,50.0,5.0,10.526315689086914,0.0,11.764705657958984,0.0,0.0,0.0,16001761280,4294963200,3558408192,753127424,0.179656982420056,0.89828491210028,0.179656982420056,0.89828491210028,0.931762695316138,4.65881347658069,0.931762695316138,4.65881347658069,0.28900146484375,1.44500732421875,0.28900146484375,1.44500732421875,0.4247589111328125,2.1237945556640625,0.4247589111328125,2.1237945556640625,3.249542236328125,16.247711181640625
200.0,1600.0,12472.78141784668,5000.0,0,0.1187499999999999,12472.78141784668,5000.0,0,0.1187499999999999,27840.526809692383,5000.0,0,0.1187499999999999,27840.526809692383,5000.0,0,0.1062499999999999,11422.829696655272,3333.333333333333,1,0.1062499999999999,11422.829696655272,3333.333333333333,1,0.1062499999999999,27285.93507385254,5000.0,0,0.1062499999999999,27285.93507385254,5000.0,0,0.1062499999999999,242625.05255126956,400,3383,3408,400,3480,400,400,3382,5039,5034,3611,400,4439,400,400,4370,15.000000953674316,0.0,21.052631378173828,4.761904716491699,5.263157844543457,4.761904716491699,9.523809432983398,0.0,47.36842346191406,4.761904716491699,14.285715103149414,0.0,45.45454788208008,0.0,9.523809432983398,0.0,16001761280,4294963200,3592458240,753127424,0.546112060546875,2.730560302734375,0.546112060546875,2.730560302734375,1.5228424072229245,7.614212036114623,1.5228424072229245,7.614212036114623,0.4515228271484375,2.2576141357421875,0.4515228271484375,2.2576141357421875,1.3964996337890625,6.9824981689453125,1.3964996337890625,6.9824981689453125,4.890304565458791,24.451522827293957
