Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,DIFF_CORE0_ENERGY (J),CORE0_POWER (W),DIFF_CORE1_ENERGY (J),CORE1_POWER (W),DIFF_CORE2_ENERGY (J),CORE2_POWER (W),DIFF_CORE3_ENERGY (J),CORE3_POWER (W),DIFF_CORE4_ENERGY (J),CORE4_POWER (W),DIFF_CORE5_ENERGY (J),CORE5_POWER (W),DIFF_CORE6_ENERGY (J),CORE6_POWER (W),DIFF_CORE7_ENERGY (J),CORE7_POWER (W),DIFF_CPU_ENERGY (J),CPU_POWER (W)
0,0,11622.015686035156,3366.6666666666665,1,0.0749999999999999,11622.015686035156,3366.6666666666665,1,0.0749999999999999,25334.90544128418,5050.0,0,0.0749999999999999,25334.90544128418,5050.0,0,0.0749999999999999,10665.241928100586,5050.0,0,0.0749999999999999,10665.241928100586,5050.0,0,0.0749999999999999,24925.40057373047,3366.6666666666665,1,0.0749999999999999,24925.40057373047,3366.6666666666665,1,0.0749999999999999,224471.4560546875,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,4.34782600402832,0.0,0.0,4.1666669845581055,0.0,0.0,18.18181800842285,0.0,0.0,0.0,0.0,0.0,4.0,16001761280,4294963200,3700191232,753614848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0,11622.015762329102,3350.0,1,0.0562499999999999,11622.015762329102,3350.0,1,0.0562499999999999,25334.90544128418,5025.0,0,0.0562499999999999,25334.90544128418,5025.0,0,0.0562499999999999,10665.241928100586,5025.0,0,0.0562499999999999,10665.241928100586,5025.0,0,0.0562499999999999,24925.40057373047,3350.0,1,0.0562499999999999,24925.40057373047,3350.0,1,0.0562499999999999,224471.4560546875,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,4.34782600402832,0.0,0.0,4.1666669845581055,0.0,0.0,18.18181800842285,0.0,0.0,0.0,0.0,0.0,4.0,16001761280,4294963200,3700191232,753614848,7.62939453125e-05,0.0003814697265625,7.62939453125e-05,0.0003814697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,200,11622.04817199707,3416.6666666666665,1,0.0562499999999999,11622.04817199707,3416.6666666666665,1,0.0562499999999999,25335.68901062012,5125.0,0,0.0562499999999999,25335.68901062012,5125.0,0,0.0562499999999999,10665.297988891602,3416.6666666666665,1,0.0562499999999999,10665.297988891602,3416.6666666666665,1,0.0562499999999999,24925.4294128418,3416.6666666666665,1,0.0562499999999999,24925.4294128418,3416.6666666666665,1,0.0562499999999999,224474.29373168945,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.761904716491699,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3700432896,753614848,0.03240966796875,0.16286265310929648,0.03240966796875,0.16286265310929648,0.783569335941138,3.937534351463005,0.783569335941138,3.937534351463005,0.056060791015625,0.2817125176664573,0.056060791015625,0.2817125176664573,0.02883911133176298,0.1449201574460451,0.02883911133176298,0.1449201574460451,2.837677001953125,14.259683426900125
199,400,11622.089874267578,3400.0,1,0.0562499999999999,11622.089874267578,3416.6666666666665,1,0.08125,25336.47152709961,5125.0,0,0.08125,25336.47152709961,5125.0,0,0.08125,10665.320709228516,3416.6666666666665,1,0.08125,10665.320709228516,3416.6666666666665,1,0.08125,24925.47312927246,5125.0,0,0.08125,24925.47312927246,5125.0,0,0.08125,224477.1294403076,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3700432896,753614848,0.0417022705078125,0.20955914828046482,0.0417022705078125,0.20955914828046482,0.7825164794885495,3.932243615520349,0.7825164794885495,3.932243615520349,0.0227203369140625,0.11417254730684673,0.0227203369140625,0.11417254730684673,0.04371643066042452,0.21968055608253528,0.04371643066042452,0.21968055608253528,2.8357086181349587,14.24979205092944
199,600,11622.121475219728,3416.6666666666665,1,0.0562499999999999,11622.12156677246,3416.6666666666665,1,0.0562499999999999,25337.25009155273,5125.0,0,0.0562499999999999,25337.25009155273,5125.0,0,0.0562499999999999,10665.335647583008,3416.6666666666665,1,0.0562499999999999,10665.335647583008,3416.6666666666665,1,0.0625,24925.512405395508,5125.0,0,0.0625,24925.512405395508,5125.0,0,0.0625,224479.9196166992,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3700391936,753614848,0.03160095215025649,0.15879875452390194,0.03169250488099351,0.15925881849745482,0.778564453121362,3.9123841865395073,0.778564453121362,3.9123841865395073,0.0149383544921875,0.07506710800094221,0.0149383544921875,0.07506710800094221,0.039276123046875,0.19736745249685927,0.039276123046875,0.19736745249685927,2.7901763916015625,14.020986892470162
199,800,11622.159530639648,3416.6666666666665,1,0.0562499999999999,11622.159530639648,3416.6666666666665,1,0.0562499999999999,25338.02406311035,5125.0,0,0.0562499999999999,25338.02406311035,5125.0,0,0.0562499999999999,10665.352645874023,3416.6666666666665,1,0.0562499999999999,10665.352645874023,3416.6666666666665,1,0.0562499999999999,24925.547332763672,3416.6666666666665,1,0.0562499999999999,24925.547332763672,3416.6666666666665,1,0.0562499999999999,224482.69660949707,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3700621312,753614848,0.03805541992005601,0.1912332659299297,0.03796386718931899,0.19077320195637681,0.7739715576208255,3.889304309652389,0.7739715576208255,3.889304309652389,0.016998291015625,0.08541854781721105,0.016998291015625,0.08541854781721105,0.0349273681640625,0.17551441288473618,0.0349273681640625,0.17551441288473618,2.7769927978806663,13.954737677792293
200,1000,11622.194076538086,3416.6666666666665,1,0.0625,11622.194076538086,3416.6666666666665,1,0.0625,25338.868103027344,5125.0,0,0.0625,25338.868103027344,5125.0,0,0.0562499999999999,10665.367904663086,3416.6666666666665,1,0.0562499999999999,10665.367904663086,3416.6666666666665,1,0.0562499999999999,24925.561798095703,3416.6666666666665,1,0.0562499999999999,24925.561798095703,3416.6666666666665,1,0.0562499999999999,224485.3625335693,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,16001761280,4294963200,3700621312,753614848,0.0345458984375,0.1727294921875,0.0345458984375,0.1727294921875,0.8440399169921875,4.2201995849609375,0.8440399169921875,4.2201995849609375,0.0152587890625,0.0762939453125,0.0152587890625,0.0762939453125,0.01446533203125,0.07232666015625,0.01446533203125,0.07232666015625,2.665924072236521,13.329620361182606
199,1200,11622.207626342772,3316.6666666666665,1,0.0749999999999999,11622.207626342772,3316.6666666666665,1,0.0749999999999999,25339.554397583008,3316.6666666666665,1,0.0749999999999999,25339.554397583008,3316.6666666666665,1,0.2562499999999998,10665.427322387695,3316.6666666666665,1,0.2562499999999998,10665.427322387695,3316.6666666666665,1,0.2562499999999998,24926.070846557617,3316.6666666666665,1,0.2562499999999998,24926.070846557617,3316.6666666666665,1,0.2562499999999998,224488.1632080078,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,5.555555820465088,0.0,0.0,15.000000953674316,0.0,0.0,0.0,16001761280,4294963200,3441651712,753614848,0.01354980468568101,0.06808947078231663,0.01354980468568101,0.06808947078231663,0.6862945556640625,3.4487163601209168,0.6862945556640625,3.4487163601209168,0.059417724609375,0.29858153070037685,0.059417724609375,0.29858153070037685,0.5090484619140625,2.558032471929962,0.5090484619140625,2.558032471929962,2.8006744385056663,14.073740897013398
199,1400,11622.495483398438,3283.333333333333,1,0.2937499999999999,11622.495483398438,3283.333333333333,1,0.2937499999999999,25339.653106689453,3283.333333333333,1,0.2937499999999999,25339.653106689453,3283.333333333333,1,0.2937499999999999,10665.61457824707,3283.333333333333,1,0.2937499999999999,10665.61457824707,3283.333333333333,1,0.2937499999999999,24927.114852905277,4925.0,0,0.2937499999999999,24927.114852905277,4925.0,0,0.2937499999999999,224491.1968994141,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.761904716491699,0.0,5.555555820465088,0.0,0.0,15.000000953674316,0.0,0.0,0.0,16001761280,4294963200,3528200192,753614848,0.2878570556658815,1.4465178676677461,0.2878570556658815,1.4465178676677461,0.0987091064453125,0.4960256605292085,0.0987091064453125,0.4960256605292085,0.187255859375,0.9409842179648241,0.187255859375,0.9409842179648241,1.044006347659888,5.246263053567276,1.044006347659888,5.246263053567276,3.033691406279104,15.244680433563335
199,1600,11622.827438354492,3333.333333333333,1,0.1312499999999998,11622.827438354492,3333.333333333333,1,0.1312499999999998,25340.177505493164,3333.333333333333,1,0.1312499999999998,25340.177505493164,3333.333333333333,1,0.1312499999999998,10665.91781616211,5000.0,0,0.1312499999999998,10665.91781616211,5000.0,0,0.1312499999999998,24929.703735351562,5000.0,0,0.1312499999999998,24929.703735351562,5000.0,0,0.1312499999999998,224495.61987304688,3438,400,5011,400,3903,400,400,3358,3667,400,3802,400,5040,400,4052,400,14.285715103149414,4.761904716491699,10.526315689086914,0.0,5.0,0.0,5.0,0.0,10.526315689086914,9.523809432983398,5.0,0.0,0.0,94.73684692382812,0.0,0.0,16001761280,4294963200,3563798528,753614848,0.3319549560546875,1.668115357058731,0.3319549560546875,1.668115357058731,0.5243988037109375,2.635169867894158,0.5243988037109375,2.635169867894158,0.3032379150390625,1.523808618286746,0.3032379150390625,1.523808618286746,2.5888824462854245,13.009459529072485,2.5888824462854245,13.009459529072485,4.422973632783396,22.225998154690433
